Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
12730,1,G R A Nursing Home,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952240.4363244297 1310264.7511588763),Valid,POINT (13.148319999866885 11.822319999912164)
12910,2,Gishili Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952116.6921929539 1310184.7034085058),Valid,POINT (13.1471761075733 11.82161457866519)
1621,3,Lehobi Primary Health Care,Partially Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (917601.22408928 1186179.5006874993),Valid,POINT (12.81628418 10.70709229)
30499,4,Dugja Idp Camp,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (848184.2567818873 1175216.8639492653),Valid,POINT (12.18162833 10.615219999999999)
1827,5,Kopa Maikudiri Dispensary,Partially Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (972003.3665260379 1192711.8899050204),Valid,POINT (13.31335833 10.759526669999998)
22617,6,Ghumtukum Medical Center,Functional,Primary,Medical Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951619.9411313304 1307569.8375476857),Valid,POINT (13.14227295 11.798095699999998)
22374,7,Ghung Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1023039.8825509319 1245162.4120254333),Valid,POINT (13.786309999999999 11.225400000000002)
7151,8,Grem Demch Dispensary,Partially Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (833821.4193008346 1171900.9825984808),Valid,POINT (12.050218999758842 10.58657400028085)
6007,9,Gumsuri Federal Medical Center,Not Functional,Secondary,Federal Medical Center,2020-07-04T13:49:18,Damboa,Borno,POINT (916122.4258249368 1224329.210844076),Valid,POINT (12.807163000066737 11.051521000190517)
22990,10,Uba Bobo Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (961544.1065099901 1159246.6501570842),Valid,POINT (13.213818000369715 10.458996999598298)
